"name";"cnpj";"address";"exchange";"tax";"payment_type";"total_before_discount";"total_after_discount";"total_items";"discounts";"code";"name";"quantity";"unity_of_measure";"price";"currency";"total_price";"access_key";"number";"serie";"issue_date"

"DROGARIAS PACHECO S/A";"33.438.250/0079-27";"BOULEVARD VINTE E OITO DE SETEMBRO,251,,VILA ISABEL,Rio de Janeiro,RJ";0;1.63;"Cartão de Débito";6.39;6.39;1;0;"733750";"DIMETIGASS 15 ML";1.0;"UN";6.39;"R$";6.39;"33230333438250007927650210000375681621056145";"37568";"21";"2023-03-20 20:31:57-03:00"

"DROGARIAS PACHECO S/A";"33.438.250/0062-89";"AVENIDA 28 DE SETEMBRO,296,,VILA ISABEL,Rio de Janeiro,RJ";0;18.95;"Cartão de Débito";37.97;37.97;4;0;"75930";"CR SEDA 300M CAC DEFIN";1.0;"UN";8.9;"R$";8.9;"33230533438250006289650240000185271567935715";"18527";"24";"2023-05-24 19:36:58-03:00"

"DROGARIAS PACHECO S/A";"33.438.250/0062-89";"AVENIDA 28 DE SETEMBRO,296,,VILA ISABEL,Rio de Janeiro,RJ";0;18.95;"Cartão de Débito";37.97;37.97;4;0;"322792";"ALICATE MUNDIAL C758";1.0;"UN";15.69;"R$";15.69;"33230533438250006289650240000185271567935715";"18527";"24";"2023-05-24 19:36:58-03:00"

"DROGARIAS PACHECO S/A";"33.438.250/0062-89";"AVENIDA 28 DE SETEMBRO,296,,VILA ISABEL,Rio de Janeiro,RJ";0;18.95;"Cartão de Débito";37.97;37.97;4;0;"779903";"ESM IM BASE FORCA EXT";1.0;"UN";7.49;"R$";7.49;"33230533438250006289650240000185271567935715";"18527";"24";"2023-05-24 19:36:58-03:00"

"DROGARIAS PACHECO S/A";"33.438.250/0062-89";"AVENIDA 28 DE SETEMBRO,296,,VILA ISABEL,Rio de Janeiro,RJ";0;18.95;"Cartão de Débito";37.97;37.97;4;0;"779792";"ESM CREM IMPALA PRETO";1.0;"UN";5.89;"R$";5.89;"33230533438250006289650240000185271567935715";"18527";"24";"2023-05-24 19:36:58-03:00"

"DROGARIAS PACHECO S/A";"33.438.250/0062-89";"AVENIDA 28 DE SETEMBRO,296,,VILA ISABEL,Rio de Janeiro,RJ";0;1.61;"Cartão de Débito";12.33;11.99;1;0.34;"104523";"BENEGRIP 6CP";1.0;"UN";12.33;"R$";12.33;"33230533438250006289650210000506541719433581";"50654";"21";"2023-05-26 08:30:08-03:00"
"GRAO DA TERRA COPACABANA LTDA";"29.613.164/0004-19";"BVD VINTE E OITO DE SETEMBRO,326,,VILA ISABEL,RIO DE JANEIRO,RJ";14.12;0.0;"Dinheiro";5.93;5.93;1;0;"59";"MILHO DE PIPOCA";0.398;"KG";14.9;"R$";5.93;"33230529613164000419650020002040751558252651";"204075";"2";"2023-05-22 16:58:51-03:00"
"SUPERMERCADO PREMIUN VILA ISABEL LTDA";"06.271.017/0001-60";"BOULEVARD VINTE E OITO DE SETEMBRO,310,,VILA ISABEL,RIO DE JANEIRO,RJ";15.01;0;"Dinheiro";24.99;24.99;1;0;"7891150086531";"BRILHANTE 2.2KG L.TO";1.0;"UN";24.99;"R$";24.99;"33230506271017000160650060003666299103666294";"366629";"6";"2023-05-16 18:01:00-03:00"
